epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.494,1.02433,1.37519,1.21585,0.62531,0.70652,0.69019,0.44261,1.17583,1.4798,1.37824,0.000552215,0.000552215,0.000552215
2,1105.02,1.13886,1.00506,1.29419,0.79765,0.74167,0.82185,0.53611,1.22731,1.14117,1.40256,0.000998202,0.000998202,0.000998202
3,1663.82,1.11942,0.94389,1.26581,0.76303,0.72681,0.8346,0.56127,1.1963,1.04351,1.35873,0.00133417,0.00133417,0.00133417
4,2227.05,1.07574,0.86824,1.25017,0.8261,0.7984,0.88347,0.61871,1.08909,0.84751,1.29803,0.0011719,0.0011719,0.0011719
5,2869.05,1.00452,0.7543,1.1915,0.90825,0.85394,0.93586,0.69108,0.97901,0.69395,1.19842,0.00100687,0.00100687,0.00100687
6,3543.66,0.93173,0.66073,1.14578,0.93477,0.88644,0.95756,0.73718,0.87782,0.60851,1.13593,0.000841835,0.000841835,0.000841835
7,4242.88,0.86488,0.60572,1.10143,0.94336,0.93961,0.97948,0.78599,0.81017,0.52641,1.09375,0.000676802,0.000676802,0.000676802
8,4915.29,0.78754,0.51813,1.06142,0.95721,0.94345,0.98341,0.80233,0.77328,0.488,1.07907,0.000511769,0.000511769,0.000511769
9,5523.07,0.74531,0.47818,1.03009,0.96829,0.93926,0.98708,0.81173,0.75435,0.45187,1.0542,0.000346736,0.000346736,0.000346736
10,6151.08,0.69532,0.43043,0.99722,0.96417,0.97104,0.9904,0.82979,0.72227,0.39873,1.03635,0.000181703,0.000181703,0.000181703
